OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
191,2120375,H09481,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,13 1/2 ST INT PENNSYLVANIA AVE NW SEC,N,2012-04-26T00:00:00.000Z,6,E-16,397341,136390,2012-06-06T06:00:31.000Z,38.89536226,-77.0306491
192,2118515,H08570,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE BET 12TH ST AND 13TH ST NW NORTHSIDE,Y,2012-05-07T00:00:00.000Z,6,E-16,397499,136393,2012-06-06T06:00:31.000Z,38.89538199,-77.02882087
193,2118462,H08515,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,14TH ST BET PENNSYLVANIA AVE EAST BOUND AND PENNSYLVANIA AVE  WEST BOUND NW EASTSIDE - NPS,Y,2012-04-26T00:00:00.000Z,6,E-16,397240,136438,2012-06-06T06:00:31.000Z,38.89578953,-77.03181081
194,2118552,H08610,"HYDRANT, MUELLER-SUP CENT 250",Y,15TH ST INT PENNSYLVANIA AVE NW NEC,Y,2012-05-10T00:00:00.000Z,6,E-16,397093,136439,2012-06-06T06:00:31.000Z,38.89580285,-77.0335043
195,2118551,H08609,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,13TH ST INT E ST NW SWC,Y,2012-05-17T00:00:00.000Z,6,E-16,397420,136456,2012-06-06T06:00:31.000Z,38.89594911,-77.02974068
196,2118550,H08608,"NPS - HYDRANT, CLOW - EDDY",Y,15TH ST INT PENNSYLVANIA AVE NW SEC,N,2012-04-26T00:00:00.000Z,6,E-16,397093,136489,2012-06-06T06:00:31.000Z,38.896253,-77.03350773
197,2122342,H03352,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 14TH ST NW NWC,Y,2012-04-26T00:00:00.000Z,6,E-16,397210,136494,2012-06-06T06:00:31.000Z,38.89629812,-77.03216076
198,2123896,H00455,"NPS - HYDRANT, US PIPE-A P SMITH",Y,PENNSYLVANIA AVE BET 14TH ST AND 15TH ST NW NORTHSIDE,N,2012-04-26T00:00:00.000Z,6,E-16,397142,136511,2012-06-06T06:00:31.000Z,38.89644423,-77.03294542
199,2119690,H21031,"HYDRANT, AP SMITH - O'BRIEN",Y,REAR OF US TREASURY BLDG ALEXANDER HAMILTON PL NW NORTHSIDE - US TREASURY BLDG// CLOSEST TO E. EXEC AVE.,N,2012-01-26T00:00:00.000Z,6,E-16,396996,136516,2012-06-06T06:00:31.000Z,38.89648889,-77.03462762
200,2123907,H01262,"HYDRANT, AP SMITH - O'BRIEN",Y,ALEXANDER HAMILTON PL INT 15TH ST NW NORTHSIDE,N,2012-01-24T00:00:00.000Z,6,E-16,397051,136516,2012-06-06T06:00:31.000Z,38.89649319,-77.0339912
201,2123922,H01278,"HYDRANT, US PIPE-A P SMITH",Y,ALEXANDER HAMILTON PL INT E EXECUTIVE AVE NW NORTHSIDE - 1ST HYDRANT NORTH ON E EXECUTIVE AVE,N,2012-01-26T00:00:00.000Z,6,E-16,396958,136540,2012-06-06T06:00:31.000Z,38.89670543,-77.03505867
202,2123516,H00333,"HYDRANT, MUELLER-SUP CENT 250",Y,WEST EXECUTIVE BET STATE PL AND PENNSYLVANIA AVE NW EASTSIDE - 1ST HYD. NORTH OF STATE PL.,Y,2011-07-19T00:00:00.000Z,6,E-16,396714,136574,2012-06-06T06:00:31.000Z,38.8970172,-77.03786929
203,2117310,H07684,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,ROCK CREEK & POTOMAC PKY INT F ST NW SEC,Y,2011-11-21T00:00:00.000Z,6,E-23,395111,136595,2012-06-06T06:00:31.000Z,38.8971955,-77.05635269
204,2123910,H01266,"HYDRANT, US PIPE-A P SMITH",Y,EAST EXECUTIVE AVE NW EASTSIDE - 3RD HYD. SOUTH OF PENN. AVE,N,2012-01-24T00:00:00.000Z,6,E-16,396958,136595,2012-06-06T06:00:31.000Z,38.89720534,-77.03506426
205,2123909,H01265,"HYDRANT, US PIPE-A P SMITH",Y,EAST EXECUTIVE AVE NW EASTSIDE - 2ND HYD SOUTH OF PENN. AVE,N,2012-01-24T00:00:00.000Z,6,E-16,396959,136643,2012-06-06T06:00:31.000Z,38.89763677,-77.03505199
206,2120183,H21190,"HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF 1600 PENNSYLVANIA AVE NW EASTSIDE - WHITE HOUSE// WEST OF NORTH PORTICO,Y,2011-07-19T00:00:00.000Z,6,E-16,396715,136668,2012-06-06T06:00:31.000Z,38.89786236,-77.03786477
207,2117387,H07771,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF 1600 PENNSYLVANIA AVE NW NORTHSIDE - WHITE HOUSE// EAST OF NORTH PORTICO,Y,2011-07-19T00:00:00.000Z,6,E-16,396858,136679,2012-06-06T06:00:31.000Z,38.89796388,-77.03621682
208,2117388,H07772,"NPS - HYDRANT, US PIPE-A P SMITH",Y,IN FRONT OF 1600 PENNSYLVANIA AVE NW NORTHSIDE - WHITE HOUSE// WEST OF NORTH PORTICO,N,2011-07-19T00:00:00.000Z,6,E-16,396799,136680,2012-06-06T06:00:31.000Z,38.89796856,-77.03689681
209,2123037,H01885,"HYDRANT, US PIPE-A P SMITH",Y,EAST EXECUTIVE AVE NW EASTSIDE - 1ST HYD SOUTH OF PENN AVE,N,2012-01-24T00:00:00.000Z,6,E-16,396960,136712,2012-06-06T06:00:31.000Z,38.89825743,-77.03504163
211,2121291,H20919,"DDOT - HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF 63+00 AIR RIGHTS TUNNEL NB NW EASTSIDE - 3RD ST TUNNEL // NBH11,Y,2011-08-19T00:00:00.000Z,6,E-2,398784,136960,2012-06-06T06:00:31.000Z,38.90049738,-77.01401821
212,2121290,H20918,"DDOT - HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF 64+00 AIR RIGHTS TUNNEL SB NW WESTSIDE - 3RD ST TUNNEL // SBH3,Y,2012-04-27T00:00:00.000Z,6,E-2,398759,136966,2012-06-06T06:00:31.000Z,38.90055264,-77.01429915
214,2122410,H00861,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,MASSACHUSETTS AVE INT THOMAS CIR NW NWC,Y,2012-04-27T00:00:00.000Z,6,E-16,397185,137569,2012-06-06T06:00:31.000Z,38.90597953,-77.0324473
215,2124232,H03064,"HYDRANT, MUELLER-SUP CENT 250",Y,26TH ST INT O ST NW NWC,Y,2011-07-07T00:00:00.000Z,6,E-1,395245,137865,2012-06-06T06:00:31.000Z,38.90863923,-77.05481948
216,2118338,H08382,"HYDRANT, MUELLER-SUP CENT 250",Y,BRENTWOOD PKY INT PENN ST NE EASTSIDE - A/F 6TH ST ENTRANCE TO 515 NY AVE,Y,2012-03-16T00:00:00.000Z,1,E-10,400392,137980,2012-06-06T06:00:31.000Z,38.90968167,-76.99547104
217,2118337,H08381,"HYDRANT, MUELLER-SUP CENT 250",Y,BRENTWOOD PKWY BET PENN ST AND MOUNT OLIVET RD NE SOUTHSIDE - IFO 1401 BRENTWOOD PKWY,Y,2012-03-16T00:00:00.000Z,1,E-10,400468,138005,2012-06-06T06:00:31.000Z,38.90990909,-76.99460353
219,2121287,H20915,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,IN FRONT OF 1400 BRENTWOOD PKWY NE SOUTHSIDE - NPS // SOUTH OF MAINTENANCE FACILITY //BRENTWOOD PKWY,Y,2012-03-16T00:00:00.000Z,1,E-10,400492,138048,2012-06-06T06:00:31.000Z,38.91029775,-76.99432626
220,2117135,H06841,"HYDRANT, MUELLER-SUP CENT 250",Y,BRENTWOOD PKY BET MT OLIVET RD AND PENN ST NE WESTSIDE - A/F CENTRAL UTILITIES BLDG,Y,2012-03-16T00:00:00.000Z,1,E-10,400583,138079,2012-06-06T06:00:31.000Z,38.91057314,-76.99326808
221,2118497,H08551,"HYDRANT, MUELLER-SUP CENT 250",Y,BRENTWOOD PKWY INT TELEGRAPH HILL RD NE NEC - AT GALLAUDET GATE,Y,2012-03-16T00:00:00.000Z,1,E-10,400652,138132,2012-06-06T06:00:31.000Z,38.91105057,-76.99247928
222,2118498,H08552,"HYDRANT, MUELLER-SUP CENT 250",Y,BRENTWOOD PKWY INT MOUNT OLIVET RD NE SEC,Y,2012-05-15T00:00:00.000Z,1,E-10,400751,138256,2012-06-06T06:00:31.000Z,38.9121754,-76.9913304
223,2119613,H09933,"HYDRANT, AP SMITH - O'BRIEN",Y,VERMONT AVE BET S ST AND T ST NW WESTSIDE,N,2011-12-09T00:00:00.000Z,4,E-9,397588,138347,2012-06-06T06:00:31.000Z,38.91299082,-77.02780828
224,2114240,H04040,"HYDRANT, AMERICAN FOUNDRY - O'BRIEN",Y,IN FRONT OF 2545 WATERSIDE DR NW SOUTHSIDE,N,2011-11-03T00:00:00.000Z,6,E-1,394995,138695,2012-06-06T06:00:31.000Z,38.91611565,-77.05770445
146,2116864,H06555,"NPS - HYDRANT, CLOW - EDDY",Y,MADISON DR BET 7TH ST AND 9TH ST NW NORTHSIDE,N,2012-04-23T00:00:00.000Z,6,E-2,398047,135861,2012-06-06T06:00:31.000Z,38.89059267,-77.02250491
147,2118134,H08165,"NPS - HYDRANT, CLOW - EDDY",Y,MADISON DR INT 4TH ST NW NEC - NPS // IN FRONT OF NATIONAL GALLERY OF ART //EAST BUILDING,N,2011-11-30T00:00:00.000Z,2,E-3,398497,135867,2012-06-06T06:00:31.000Z,38.89064909,-77.01732184
149,2118446,H08497,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT CONSTITUTION AVE NW SOUTHSIDE,Y,2012-05-18T00:00:00.000Z,2,E-3,398585,135971,2012-06-06T06:00:31.000Z,38.8915883,-77.01630361
